AnnualIncome,Investments,Deductions,HRA,Age,EmploymentType,MaritalStatus,TaxLiability,TaxBurdenRatio,TaxSavings,StandardDeduction,EffectiveStrategy
1308168.53,35313.0,7313.0,202088.5,57,Retired,Married,91198.44,0.0697,316950.14,0,Aggressive_Tax_Planning
2769198.49,66925.0,97668.0,134141.2,50,Private,Married,497784.86,0.1798,366205.07,50000,High_Income_Strategy
705231.86,22740.81,44029.21,175978.39,24,Private,Single,11049.14,0.0157,208983.2,50000,Standard_Planning
1247260.46,62933.0,44724.0,473380.36,45,Government,Married,30287.2,0.0243,358858.06,50000,Aggressive_Tax_Planning
2844323.69,71553.0,79515.0,639865.61,59,Private,Married,367657.7,0.1293,519771.29,50000,High_Income_Strategy
2255516.2,110623.0,4847.0,832902.91,58,Business,Married,144857.26,0.0642,558863.8,0,High_Income_Strategy
2352383.41,53926.0,21275.0,374356.64,63,Private,Married,320681.64,0.1363,413261.98,50000,Senior_Planning
1434230.88,118839.0,83152.0,390238.03,36,Government,Married,53352.29,0.0372,394127.75,50000,Aggressive_Tax_Planning
833335.77,92447.2,68374.55,132046.76,21,Private,Married,17208.6,0.0207,242792.16,50000,Standard_Planning
2646367.83,143186.0,83571.0,282870.24,55,Private,Married,393663.06,0.1488,432003.7,50000,High_Income_Strategy
1376469.55,135958.0,51373.0,279009.31,43,Private,Married,63980.16,0.0465,365478.34,50000,Aggressive_Tax_Planning
1651230.36,70903.0,66563.0,314514.82,28,Self-Employed,Married,119443.9,0.0723,395739.97,0,High_Income_Strategy
1041852.07,42655.0,3089.0,170721.38,61,Private,Married,50760.32,0.0487,274297.52,50000,Senior_Planning
976890.99,117717.46,51663.53,149360.81,69,Retired,Married,29447.52,0.0301,275342.47,0,Senior_Planning
1411709.29,124752.0,95847.0,435099.84,71,Government,Married,39937.63,0.0283,400515.67,50000,Senior_Planning
1079884.37,38487.0,17137.0,214802.83,28,Self-Employed,Married,48275.38,0.0447,288648.55,0,Aggressive_Tax_Planning
1197912.65,109717.0,34080.0,280175.64,68,Retired,Married,42734.64,0.0357,331014.1,0,Senior_Planning
1195860.28,140326.0,35646.0,195753.58,73,Business,Married,50565.01,0.0423,322543.39,0,Senior_Planning
1854967.91,84457.0,99894.0,92978.97,66,Self-Employed,Single,219223.04,0.1182,359526.95,0,Senior_Planning
1893943.36,125371.0,76865.0,554931.85,29,Private,Married,106449.31,0.0562,484461.02,50000,High_Income_Strategy
1218565.39,123985.0,26002.0,310153.75,73,Private,Single,40314.24,0.0331,339878.16,50000,Senior_Planning
2188858.85,111118.0,42660.0,173140.03,57,Private,Single,307925.53,0.1407,374998.43,50000,High_Income_Strategy
1771488.23,76223.0,27790.0,395108.62,57,Government,Single,135815.32,0.0767,416889.01,50000,High_Income_Strategy
616613.52,66426.83,52878.52,9042.5,57,Business,Married,12389.81,0.0201,179993.6,0,Standard_Planning
613356.37,88022.27,18433.58,93694.44,59,Private,Single,8486.72,0.0138,182880.47,50000,Standard_Planning
1692147.6,42021.0,1157.0,187519.79,67,Private,Married,184976.95,0.1093,342973.1,50000,Senior_Planning
1881515.39,50961.0,55320.0,343048.66,41,Private,Married,177368.29,0.0943,409664.51,50000,High_Income_Strategy
2723400.12,36739.0,86837.0,78339.67,48,Private,Married,513703.15,0.1886,335997.69,50000,High_Income_Strategy
1355723.65,114896.0,35084.0,273201.67,51,Business,Married,67476.55,0.0498,355509.23,0,Aggressive_Tax_Planning
814547.89,122674.12,73694.1,199134.12,47,Business,Single,8790.37,0.0108,245348.57,0,Standard_Planning
963809.7,22953.4,5866.52,193691.68,37,Private,Married,38095.0,0.0395,262613.62,50000,Standard_Planning
1598571.93,78749.0,15330.0,515118.78,34,Private,Married,76342.37,0.0478,422412.08,50000,High_Income_Strategy
1341009.25,39669.0,85791.0,336594.69,58,Private,Single,59116.91,0.0441,359277.97,50000,Aggressive_Tax_Planning
2169100.27,110500.0,64054.0,510399.95,71,Retired,Married,190878.04,0.088,485881.24,0,Senior_Planning
1415167.16,12457.0,38835.0,307317.61,62,Retired,Married,89763.97,0.0634,351768.18,0,Senior_Planning
880225.8,112676.45,16357.09,37222.1,23,Self-Employed,Single,35252.9,0.04,239377.55,0,Standard_Planning
2359063.74,111721.0,46882.0,48950.16,75,Private,Married,398271.3,0.1688,337756.59,50000,Senior_Planning
1348634.0,58481.0,46533.0,229275.45,31,Private,Married,80983.67,0.06,339790.14,50000,Aggressive_Tax_Planning
3352753.28,116803.0,85086.0,956968.22,38,Self-Employed,Married,411495.57,0.1227,634563.45,0,High_Income_Strategy
1412856.59,130442.0,14269.0,484797.71,37,Private,Married,44202.27,0.0313,396608.99,50000,Aggressive_Tax_Planning
421060.04,80412.1,11089.56,66836.01,24,Government,Married,661.56,0.0016,130709.17,50000,Standard_Planning
1107852.16,43219.0,45098.0,285786.92,60,Private,Married,37309.82,0.0337,308340.06,50000,Senior_Planning
908712.71,17633.29,74135.29,40110.07,37,Business,Married,43186.11,0.0475,240332.25,0,Standard_Planning
2160581.5,13082.0,70313.0,560843.82,36,Private,Married,200098.92,0.0926,474002.51,50000,High_Income_Strategy
1582032.89,106024.0,66149.0,325486.35,23,Private,Single,95549.7,0.0604,398044.57,50000,High_Income_Strategy
1171929.17,16093.0,1528.0,266071.1,41,Private,Married,60564.98,0.0517,305076.92,50000,Aggressive_Tax_Planning
2621584.01,59688.0,55947.0,254116.88,48,Self-Employed,Married,429571.63,0.1639,388362.59,0,High_Income_Strategy
1772609.99,30524.0,66275.0,107485.11,22,Private,Single,216317.68,0.122,336736.64,50000,High_Income_Strategy
1303694.57,44676.0,82559.0,220162.51,47,Private,Single,71182.34,0.0546,335570.36,50000,Aggressive_Tax_Planning
722155.52,18300.36,57324.84,207780.23,38,Private,Single,9815.0,0.0136,215497.52,50000,Standard_Planning
984304.95,69295.23,15270.37,226798.42,21,Private,Single,30985.86,0.0315,276117.29,50000,Standard_Planning
300949.39,71417.46,4779.31,109770.21,20,Self-Employed,Married,0.0,0.0,93896.21,0,Standard_Planning
2311786.22,121638.0,18059.0,417970.46,53,Private,Single,274285.05,0.1186,446992.25,50000,High_Income_Strategy
1513216.71,112922.0,18266.0,514049.61,33,Self-Employed,Single,57404.74,0.0379,414718.87,0,High_Income_Strategy
456484.86,27319.21,22309.61,54382.23,63,Private,Married,5328.64,0.0117,137094.64,50000,Senior_Planning
1957248.82,63495.0,33901.0,26740.7,65,Government,Married,298930.98,0.1527,311730.65,50000,Senior_Planning
1448095.14,899.0,225.0,280058.85,34,Private,Single,112717.75,0.0778,339087.93,50000,Aggressive_Tax_Planning
1598764.42,31559.0,87953.0,521564.42,21,Private,Single,71399.33,0.0447,427415.17,50000,High_Income_Strategy
766415.03,57684.39,23418.39,13706.78,36,Private,Married,30846.97,0.0402,208274.52,50000,Standard_Planning
631797.53,45752.8,11470.12,31260.94,53,Private,Married,17504.62,0.0277,179616.21,50000,Standard_Planning
1604307.08,147057.0,45061.0,190315.47,65,Private,Married,124149.71,0.0774,376394.1,50000,Senior_Planning
985485.84,49831.52,44735.82,185314.33,62,Private,Married,34382.83,0.0349,273088.75,50000,Senior_Planning
2455681.65,110082.0,37140.0,76300.26,70,Retired,Married,423433.73,0.1724,342738.95,0,Senior_Planning
395059.25,10444.63,16641.29,148316.34,36,Government,Married,0.0,0.0,123258.48,50000,Standard_Planning
517618.98,93894.35,5828.53,148849.88,21,Self-Employed,Single,990.4,0.0019,160506.72,0,Standard_Planning
300000.0,11272.02,36767.94,15446.5,35,Self-Employed,Single,0.0,0.0,93600.0,0,Standard_Planning
940435.41,1954.94,92361.42,363785.02,66,Private,Married,12081.37,0.0128,281334.48,50000,Senior_Planning
1889826.66,71271.0,89873.0,52032.07,74,Retired,Married,250114.98,0.1323,339510.93,0,Senior_Planning
764559.88,101718.86,24322.46,162402.44,28,Business,Married,11758.04,0.0154,226784.65,0,Standard_Planning
1905972.25,36114.0,47857.0,147993.05,71,Private,Married,249290.56,0.1308,345372.78,50000,Senior_Planning
782987.87,61599.43,19309.35,5962.16,66,Private,Married,33396.16,0.0427,210896.05,50000,Senior_Planning
2371071.48,1661.0,18424.0,708440.18,59,Government,Married,239474.45,0.101,500299.86,50000,High_Income_Strategy
1648795.7,31596.0,50044.0,385579.1,32,Business,Married,115767.93,0.0702,398656.33,0,High_Income_Strategy
875001.51,109110.49,30738.51,49058.87,74,Government,Married,32353.74,0.037,240646.73,50000,Senior_Planning
1934878.18,83610.0,54483.0,595533.18,21,Private,Single,119860.42,0.0619,483821.58,50000,High_Income_Strategy
3390971.67,76214.0,98106.0,468671.52,52,Government,Married,584369.81,0.1723,473613.35,50000,High_Income_Strategy
1593054.8,59531.0,88340.0,566964.29,28,Government,Married,59002.24,0.037,438030.85,50000,High_Income_Strategy
2156494.91,81948.0,8155.0,107413.37,67,Private,Married,338201.3,0.1568,334625.11,50000,Senior_Planning
880647.22,91249.4,37666.22,75426.72,35,Private,Married,31335.71,0.0356,243426.23,50000,Standard_Planning
1767679.65,81453.0,8210.0,166663.08,75,Private,Single,198542.31,0.1123,352973.74,50000,Senior_Planning
305620.48,3652.02,33073.73,102166.64,42,Private,Married,0.0,0.0,95353.59,50000,Standard_Planning
2522544.92,97163.0,19608.0,974606.97,52,Private,Married,177103.41,0.0702,609930.61,50000,High_Income_Strategy
1577965.48,97568.0,38212.0,319297.9,61,Private,Married,103560.62,0.0656,388764.61,50000,Senior_Planning
1534163.31,34000.0,94723.0,469493.33,63,Retired,Married,68007.73,0.0443,410651.22,0,Senior_Planning
2113492.42,7563.0,64415.0,200597.45,57,Private,Single,301366.09,0.1426,358043.54,50000,High_Income_Strategy
1891005.0,17944.0,58336.0,673150.17,57,Private,Married,107447.56,0.0568,482546.0,50000,High_Income_Strategy
1973732.73,79264.0,15084.0,16114.78,62,Private,Single,308340.22,0.1562,307464.39,50000,Senior_Planning
1990245.1,88964.0,45662.0,84748.84,54,Private,Single,279511.52,0.1404,341444.95,50000,High_Income_Strategy
1500842.99,97596.0,22033.0,328036.24,70,Retired,Married,89060.97,0.0593,379202.04,0,Senior_Planning
2178723.84,86095.0,11630.0,476836.38,60,Retired,Married,227498.69,0.1044,452263.15,0,Senior_Planning
2597582.33,125403.0,26624.0,434139.51,50,Government,Married,354561.74,0.1365,455883.95,50000,High_Income_Strategy
317630.63,12698.64,51435.48,105559.68,30,Private,Married,0.0,0.0,99100.76,50000,Standard_Planning
1105490.25,53196.0,60103.0,363569.52,35,Business,Married,26376.66,0.0239,318536.3,0,Aggressive_Tax_Planning
1500699.9,85044.0,22633.0,163138.56,69,Private,Married,125815.94,0.0838,342402.43,50000,Senior_Planning
1986090.27,133715.0,15244.0,244888.91,47,Private,Married,223779.62,0.1127,395880.55,50000,High_Income_Strategy
2418482.65,10904.0,68142.0,512057.32,39,Private,Married,297142.35,0.1229,457424.24,50000,High_Income_Strategy
426548.15,14937.06,53289.51,76802.58,27,Private,Married,1638.99,0.0038,131444.03,50000,Standard_Planning
1390061.96,53221.0,77761.0,297982.85,52,Private,Married,71931.15,0.0517,361768.18,50000,Aggressive_Tax_Planning
618687.01,76702.26,28167.17,231843.24,24,Private,Single,1662.67,0.0027,191367.68,50000,Standard_Planning
2614819.99,64448.0,68635.0,1006656.87,46,Private,Married,188520.83,0.0721,627303.01,50000,High_Income_Strategy
836827.84,50061.6,67600.03,274080.91,49,Private,Single,10144.44,0.0121,250945.85,50000,Standard_Planning
1489338.19,127767.0,8839.0,178927.61,56,Private,Married,114151.35,0.0766,350522.16,50000,Aggressive_Tax_Planning
669341.51,31360.24,3087.22,126440.13,65,Retired,Married,13879.21,0.0207,194955.34,0,Senior_Planning
1058625.76,2067.0,7648.0,3341.39,66,Private,Married,87478.43,0.0826,242812.81,50000,Senior_Planning
1607096.0,19035.0,16526.0,191404.19,59,Self-Employed,Married,163834.01,0.1019,337579.94,0,High_Income_Strategy
551559.44,24337.04,47866.55,183972.06,46,Private,Married,2359.96,0.0043,169726.59,50000,Standard_Planning
2561812.03,30855.0,48628.0,606971.31,74,Private,Single,312111.61,0.1218,487173.74,50000,Senior_Planning
1974706.97,74574.0,99277.0,118481.8,24,Private,Single,251900.74,0.1276,364207.83,50000,High_Income_Strategy
1471906.35,110375.0,90570.0,18154.22,55,Government,Married,130729.86,0.0888,328504.93,50000,Aggressive_Tax_Planning
337362.35,38454.01,26793.21,93384.98,62,Government,Married,0.0,0.0,105257.05,50000,Senior_Planning
1915147.44,90801.0,15064.0,747398.53,73,Private,Single,90871.85,0.0474,506654.15,50000,Senior_Planning
707319.86,47565.11,62913.38,130405.67,26,Private,Single,11254.66,0.0159,209429.14,50000,Standard_Planning
487409.81,41964.4,18131.48,31001.36,52,Government,Married,7608.25,0.0156,144463.61,50000,Standard_Planning
1172212.93,83558.0,49843.0,355455.93,62,Self-Employed,Single,32069.02,0.0274,333661.41,0,Senior_Planning
1165206.09,30998.0,4661.0,323641.34,53,Private,Married,47721.3,0.041,315823.0,50000,Aggressive_Tax_Planning
1363559.5,112199.0,58480.0,537925.14,29,Private,Married,29115.36,0.0214,396315.21,50000,Aggressive_Tax_Planning
2181979.7,97689.0,56368.0,329200.52,74,Government,Married,257001.32,0.1178,423776.35,50000,Senior_Planning
1556067.92,35275.0,5692.0,299719.0,41,Private,Married,122799.44,0.0789,362693.75,50000,High_Income_Strategy
2499185.22,75766.0,64727.0,116461.64,55,Private,Married,426575.94,0.1707,353169.85,50000,High_Income_Strategy
937493.56,108230.73,88177.31,162181.61,30,Private,Married,21206.01,0.0226,271291.98,50000,Standard_Planning
2060243.7,97763.0,30916.0,288137.12,57,Government,Married,239749.41,0.1164,403046.63,50000,High_Income_Strategy
1111026.84,25038.0,67505.0,203607.57,36,Private,Married,49120.7,0.0442,297519.68,50000,Aggressive_Tax_Planning
1689155.67,108852.0,75035.0,260558.36,60,Self-Employed,Married,128899.75,0.0763,398116.82,0,Senior_Planning
2190280.72,121757.0,87732.0,675523.68,21,Private,Single,144369.69,0.0659,538997.89,50000,High_Income_Strategy
1020323.7,142910.0,59424.0,240385.32,32,Private,Single,21070.86,0.0207,297270.14,50000,Aggressive_Tax_Planning
1765198.28,76838.0,4932.0,461681.6,70,Retired,Married,124123.31,0.0703,426618.55,0,Senior_Planning
300000.0,67398.03,2285.82,105436.58,70,Private,Married,0.0,0.0,93600.0,50000,Senior_Planning
1200091.57,46110.0,23251.0,78073.25,64,Retired,Single,88952.72,0.0741,285475.85,0,Senior_Planning
943573.09,40953.85,44868.85,291894.92,35,Private,Married,19848.97,0.021,274545.83,50000,Standard_Planning
2025268.87,42385.0,55558.0,369308.73,50,Private,Married,213101.35,0.1052,418782.54,50000,High_Income_Strategy
301294.55,39409.77,50520.96,88930.03,27,Business,Single,0.0,0.0,94003.9,0,Standard_Planning
1980751.17,115085.0,55089.0,16688.26,45,Government,Married,286693.34,0.1447,331301.03,50000,High_Income_Strategy
1540828.21,39466.0,43919.0,472286.68,31,Private,Single,75684.42,0.0491,405053.98,50000,High_Income_Strategy
378384.57,64265.73,12779.04,74815.82,60,Business,Married,0.0,0.0,118055.99,0,Senior_Planning
936987.97,38932.51,84980.67,115341.23,66,Private,Married,33564.29,0.0358,258775.96,50000,Senior_Planning
1935402.44,128379.0,1025.0,562158.45,20,Private,Single,128718.72,0.0665,475126.84,50000,High_Income_Strategy
884043.63,4080.53,53992.32,162787.44,46,Private,Married,29971.07,0.0339,245850.54,50000,Standard_Planning
1982271.43,111703.0,10578.0,499531.65,51,Private,Married,158719.28,0.0801,459749.4,50000,High_Income_Strategy
1117358.57,62554.0,66195.0,319180.9,44,Private,Single,30620.58,0.0274,317995.29,50000,Aggressive_Tax_Planning
2485394.62,5095.0,17923.0,813900.99,46,Private,Married,241324.4,0.0971,534118.72,50000,High_Income_Strategy
531474.27,68894.03,20457.33,114802.51,73,Private,Married,4020.66,0.0076,161799.31,50000,Senior_Planning
512601.27,9208.34,13270.63,42797.36,34,Government,Married,10260.9,0.02,149670.7,50000,Standard_Planning
1542253.83,42891.0,92038.0,293291.19,63,Government,Married,101719.0,0.066,379464.2,50000,Senior_Planning
1645734.03,130391.0,95567.0,183810.57,39,Business,Married,127080.82,0.0772,386388.2,0,High_Income_Strategy
414009.29,23948.5,11528.95,93672.25,33,Self-Employed,Single,1812.7,0.0044,127358.2,0,Standard_Planning
2081251.39,3161.0,38680.0,586606.17,40,Business,Single,182729.1,0.0878,466621.34,0,High_Income_Strategy
1935370.94,91102.0,41193.0,290997.57,23,Business,Single,198768.45,0.1027,405067.28,0,High_Income_Strategy
1808497.14,18665.0,7803.0,670792.55,32,Government,Married,101137.21,0.0559,463113.9,50000,High_Income_Strategy
2320961.35,132529.0,1695.0,385354.94,45,Business,Married,289031.31,0.1245,435108.63,0,High_Income_Strategy
989046.39,53697.09,33789.91,42175.55,62,Private,Married,56063.88,0.0567,252518.6,50000,Senior_Planning
1725730.42,118381.0,79219.0,272533.74,54,Private,Married,131455.14,0.0762,406972.75,50000,High_Income_Strategy
1253290.79,131794.0,26350.0,448050.11,24,Private,Married,28298.06,0.0226,362728.67,50000,Aggressive_Tax_Planning
798238.82,92950.38,27524.35,138557.46,62,Government,Married,17077.49,0.0214,231973.02,50000,Senior_Planning
1672296.18,139808.0,61604.0,270748.55,48,Private,Married,119628.21,0.0715,402128.2,50000,High_Income_Strategy
2364593.57,113785.0,24399.0,670866.74,49,Private,Married,212329.36,0.0898,525423.83,50000,High_Income_Strategy
1103169.52,87720.0,38605.0,13972.87,68,Retired,Married,72207.98,0.0655,271980.91,0,Senior_Planning
1276070.84,127605.0,62308.0,114334.11,41,Private,Single,73604.5,0.0577,324529.6,50000,Aggressive_Tax_Planning
2594740.43,120083.0,4300.0,805574.75,39,Self-Employed,Married,246412.2,0.095,563146.82,0,High_Income_Strategy
537762.33,72684.15,11912.0,72591.02,37,Private,Married,6789.91,0.0126,160991.94,50000,Standard_Planning
1619940.31,50933.0,40032.0,93511.72,63,Private,Single,178220.53,0.11,327200.84,50000,Senior_Planning
1046855.07,138248.0,42484.0,264087.96,30,Private,Single,23611.65,0.0226,303007.13,50000,Aggressive_Tax_Planning
1814202.81,122764.0,36024.0,356124.21,60,Private,Married,142815.56,0.0787,423215.72,50000,Senior_Planning
2139782.05,84075.0,99724.0,591478.11,35,Private,Married,159771.28,0.0747,507840.72,50000,High_Income_Strategy
1843566.51,37322.0,46766.0,687607.69,30,Government,Married,92949.13,0.0504,482243.62,50000,High_Income_Strategy
2014966.07,12230.0,21430.0,528852.54,53,Private,Married,182637.92,0.0906,446031.5,50000,High_Income_Strategy
375516.29,3449.21,7167.48,82494.92,32,Private,Single,1685.04,0.0045,115476.04,50000,Standard_Planning
433825.02,76231.79,24692.22,141378.99,24,Private,Single,0.0,0.0,135353.41,50000,Standard_Planning
1303143.36,1058.0,45316.0,356046.52,54,Private,Married,62512.76,0.048,344067.96,50000,Aggressive_Tax_Planning
719585.94,63706.89,14422.58,126425.22,67,Business,Married,14563.25,0.0202,209947.56,0,Senior_Planning
2149484.62,42876.0,95885.0,367086.95,66,Government,Married,239814.64,0.1116,430824.56,50000,Senior_Planning
375705.97,68686.42,31155.54,25676.79,70,Private,Married,9.74,0.0,117210.53,50000,Senior_Planning
352575.18,75587.26,11675.33,80046.69,33,Private,Married,0.0,0.0,110003.45,50000,Standard_Planning
771233.52,83775.54,75705.29,276093.46,27,Self-Employed,Single,4454.28,0.0058,236170.58,0,Standard_Planning
1001208.14,28227.0,17917.0,318229.69,74,Private,Married,27230.78,0.0272,285146.16,50000,Senior_Planning
1338706.81,103440.0,30425.0,180995.61,59,Private,Single,82960.01,0.062,334716.51,50000,Aggressive_Tax_Planning
2052077.92,65383.0,61685.0,343345.18,57,Private,Married,220479.4,0.1074,419768.91,50000,High_Income_Strategy
994944.92,101201.62,26522.81,193205.23,66,Private,Married,31097.59,0.0313,279325.23,50000,Senior_Planning
928249.27,94791.29,6728.2,101652.81,71,Government,Married,36408.0,0.0392,253205.77,50000,Senior_Planning
1494238.6,7931.0,979.0,463426.76,47,Private,Married,82555.58,0.0552,383646.86,50000,Aggressive_Tax_Planning
1716659.01,45547.0,73206.0,261905.68,68,Business,Married,152360.08,0.0888,383237.53,0,Senior_Planning
1936878.31,11329.0,22590.0,256119.37,33,Private,Single,240814.06,0.1243,363491.97,50000,High_Income_Strategy
1845801.24,79824.0,78939.0,579257.89,24,Private,Married,100418.31,0.0544,475471.67,50000,High_Income_Strategy
2768918.3,116346.0,56093.0,296653.0,58,Government,Married,444545.8,0.1605,419356.71,50000,High_Income_Strategy
1785486.5,112023.0,67493.0,351113.21,75,Private,Married,131262.89,0.0735,425808.89,50000,Senior_Planning
1794174.22,54350.0,66395.0,364053.2,38,Self-Employed,Single,145437.76,0.0811,414344.59,0,High_Income_Strategy
802012.02,6107.39,60356.3,265549.68,39,Private,Single,11439.93,0.0143,238787.82,50000,Standard_Planning
1816513.19,105912.0,35472.0,663588.73,74,Retired,Married,80400.42,0.0443,486351.7,0,Senior_Planning
542909.52,40592.75,59862.95,159411.54,72,Business,Married,1718.2,0.0032,167669.57,0,Senior_Planning
806615.75,70854.78,78172.16,245101.73,49,Private,Single,8449.33,0.0105,243214.79,50000,Standard_Planning
835661.3,86895.39,34311.78,45936.99,49,Private,Married,30525.78,0.0365,230200.54,50000,Standard_Planning
547251.85,34044.52,54665.23,75418.38,29,Private,Married,6922.43,0.0126,163820.14,50000,Standard_Planning
2097875.97,38947.0,56846.0,580576.9,50,Government,Married,174591.58,0.0832,479945.72,50000,High_Income_Strategy
2031649.09,18661.0,7444.0,214555.13,40,Self-Employed,Married,285788.56,0.1407,348085.96,0,High_Income_Strategy
2109664.45,64320.0,89595.0,598599.79,72,Government,Married,157858.91,0.0748,500356.4,50000,Senior_Planning
2468816.95,24203.0,76582.0,694878.67,44,Private,Married,249023.82,0.1009,521247.06,50000,High_Income_Strategy
622854.33,73180.28,26190.49,6868.07,53,Private,Married,14728.01,0.0236,179602.54,50000,Standard_Planning
2348611.63,92711.0,87332.0,907104.7,65,Private,Single,132980.62,0.0566,599786.21,50000,Senior_Planning
2148350.77,56027.0,61484.0,142725.57,40,Private,Single,316091.63,0.1471,354193.81,50000,High_Income_Strategy
2044603.22,135788.0,15510.0,160262.74,27,Private,Married,267709.25,0.1309,370206.95,50000,High_Income_Strategy
1109172.75,19212.0,76526.0,286040.29,75,Private,Single,36649.02,0.033,309412.88,50000,Senior_Planning
1020685.44,89302.0,86636.0,65903.81,50,Private,Married,43499.61,0.0426,274954.25,50000,Aggressive_Tax_Planning
1900980.17,116700.0,51599.0,176444.17,70,Private,Married,212545.94,0.1118,380559.87,50000,Senior_Planning
1557894.45,123531.0,62618.0,398324.04,75,Private,Married,73853.74,0.0474,412209.33,50000,Senior_Planning
1298940.6,142922.0,43041.0,255031.45,73,Business,Single,55839.6,0.043,349429.87,0,Senior_Planning
2921922.74,36427.0,65179.0,275267.51,51,Private,Married,521055.36,0.1783,390584.54,50000,High_Income_Strategy
1186576.95,14483.0,91967.0,90241.64,65,Government,Married,76422.11,0.0644,293789.9,50000,Senior_Planning
1122478.86,131568.0,22142.0,283297.22,72,Business,Married,32289.05,0.0288,317924.35,0,Senior_Planning
2733639.26,58389.0,44266.0,398029.77,41,Business,Married,423681.8,0.155,429213.65,0,High_Income_Strategy
2289419.43,109633.0,34288.0,838437.54,58,Business,Married,144835.83,0.0633,569463.03,0,High_Income_Strategy
1703100.18,86618.0,89875.0,313998.85,34,Self-Employed,Married,122222.53,0.0718,409144.72,0,High_Income_Strategy
3035808.78,29763.0,6983.0,504847.38,53,Private,Married,505195.2,0.1664,441977.13,50000,High_Income_Strategy
1263207.22,67542.0,59599.0,341516.06,67,Self-Employed,Single,45949.82,0.0364,348170.83,0,Senior_Planning
1551832.27,41742.0,87741.0,504727.11,66,Private,Single,65149.06,0.042,419022.61,50000,Senior_Planning
1766227.31,90624.0,48224.0,246858.9,64,Private,Married,163935.31,0.0928,387127.61,50000,Senior_Planning
1333965.77,74344.0,37964.0,280030.72,43,Private,Married,68893.82,0.0516,347303.5,50000,Aggressive_Tax_Planning
879117.55,122933.09,5129.8,21464.61,54,Private,Married,36877.36,0.0419,237407.31,50000,Standard_Planning
300000.0,52368.33,34625.43,110281.84,28,Private,Married,0.0,0.0,93600.0,50000,Standard_Planning
1234329.48,80959.0,65129.0,151200.31,71,Private,Married,68178.42,0.0552,316932.37,50000,Senior_Planning
1684238.34,62703.0,7059.0,618918.97,35,Private,Single,77306.95,0.0459,448175.41,50000,High_Income_Strategy
2962985.67,74187.0,58855.0,482795.94,65,Retired,Single,459310.09,0.155,465141.44,0,Senior_Planning
810570.58,83717.05,43154.86,65103.86,45,Private,Married,25333.86,0.0313,227564.16,50000,Standard_Planning
1631657.84,102938.0,7806.0,446642.48,59,Private,Married,93448.44,0.0573,415628.8,50000,High_Income_Strategy
1046348.79,55762.0,30181.0,333328.79,72,Private,Married,26216.01,0.0251,300244.81,50000,Senior_Planning
2380687.5,54720.0,36331.0,459851.26,57,Private,Single,297893.0,0.1251,444881.5,50000,High_Income_Strategy
894738.29,42715.25,60390.3,139666.0,56,Retired,Married,28804.54,0.0322,250353.8,0,Standard_Planning
2456067.55,147209.0,33762.0,919979.09,55,Private,Married,157330.54,0.0641,608962.54,50000,High_Income_Strategy
651221.33,85293.69,387.75,100717.5,26,Private,Single,11170.76,0.0172,192010.29,50000,Standard_Planning
1496222.66,18070.0,65117.0,451101.69,63,Self-Employed,Single,72061.7,0.0482,394759.77,0,Senior_Planning
1357664.68,104513.0,52465.0,281178.6,71,Business,Married,65443.26,0.0482,358148.12,0,Senior_Planning
1426206.16,34204.0,28255.0,500049.13,23,Self-Employed,Married,56736.89,0.0398,388239.43,0,Aggressive_Tax_Planning
2170440.25,3633.0,83968.0,423708.47,39,Private,Married,244648.8,0.1127,432528.56,50000,High_Income_Strategy
1994964.07,38764.0,72845.0,670128.22,66,Self-Employed,Married,122351.18,0.0613,500077.61,0,Senior_Planning
1630562.82,124415.0,84578.0,609517.08,62,Self-Employed,Married,48680.23,0.0299,460055.37,0,Senior_Planning
1185079.8,116579.0,29560.0,318396.91,44,Private,Married,35936.56,0.0303,333808.33,50000,Aggressive_Tax_Planning
3089923.32,115612.0,64623.0,63394.36,53,Private,Single,615043.72,0.199,349012.36,50000,High_Income_Strategy
771461.1,123600.11,35648.89,210229.14,46,Government,Married,7903.11,0.0102,232792.75,50000,Standard_Planning
1208172.21,147920.0,70570.0,347319.81,56,Business,Married,27805.69,0.023,349144.04,0,Aggressive_Tax_Planning
773108.8,22938.87,39694.26,137940.78,22,Private,Single,20543.63,0.0266,220666.32,50000,Standard_Planning
862696.27,85924.44,48512.54,65112.29,73,Retired,Married,29967.29,0.0347,239193.95,0,Senior_Planning
1641427.89,9373.0,8270.0,304693.3,66,Private,Married,147963.81,0.0901,364161.69,50000,Senior_Planning
387617.49,23400.63,19574.41,36651.41,22,Self-Employed,Married,3015.53,0.0078,117921.12,0,Standard_Planning
1329974.34,131022.0,89753.0,314571.54,31,Private,Married,45961.94,0.0346,368990.06,50000,Aggressive_Tax_Planning
300000.0,10525.89,17383.35,103611.98,23,Government,Married,0.0,0.0,93600.0,50000,Standard_Planning
831627.09,94205.38,61519.49,191324.7,51,Private,Single,12198.03,0.0147,247269.62,50000,Standard_Planning
1900170.2,86433.0,90845.0,12044.23,48,Private,Married,260784.57,0.1372,332068.54,50000,High_Income_Strategy
438452.37,53883.27,56914.82,88731.59,73,Self-Employed,Married,0.0,0.0,136797.14,0,Senior_Planning
416742.23,62364.28,1726.05,112868.64,22,Private,Single,0.0,0.0,130023.58,50000,Standard_Planning
533322.74,20733.73,58485.09,24769.35,23,Government,Single,9325.4,0.0175,157071.3,50000,Standard_Planning
